layer_idx,layer_name,submodule,cosine_similarity,mse
10,Transformer Layer 10,self_attn.up_proj,0.985806,1.5e-05
10,Transformer Layer 10,self_attn.down_proj,0.985806,1.5e-05
11,Transformer Layer 11,self_attn.q_proj,0.656452,0.000394
11,Transformer Layer 11,self_attn.k_proj,0.656452,0.000394
11,Transformer Layer 11,self_attn.v_proj,0.756452,0.000494
11,Transformer Layer 11,self_attn.o_proj,0.986387,1.5e-05
11,Transformer Layer 11,mlp.gate_proj,0.986387,1.5e-05
11,Transformer Layer 11,self_attn.up_proj,0.986387,1.5e-05
11,Transformer Layer 11,self_attn.down_proj,0.986387,1.5e-05
12,Transformer Layer 12,self_attn.q_proj,0.666129,0.000384
12,Transformer Layer 12,self_attn.k_proj,0.666129,0.000384
12,Transformer Layer 12,self_attn.v_proj,0.766129,0.000484
12,Transformer Layer 12,self_attn.o_proj,0.986968,1.4e-05
12,Transformer Layer 12,mlp.gate_proj,0.986968,1.4e-05
12,Transformer Layer 12,self_attn.up_proj,0.986968,1.4e-05
12,Transformer Layer 12,self_attn.down_proj,0.986968,1.4e-05
13,Transformer Layer 13,self_attn.q_proj,0.675806,0.000374
13,Transformer Layer 13,self_attn.k_proj,0.675806,0.000374
13,Transformer Layer 13,self_attn.v_proj,0.775806,0.000474
13,Transformer Layer 13,self_attn.o_proj,0.987548,1.4e-05
13,Transformer Layer 13,mlp.gate_proj,0.987548,1.4e-05
13,Transformer Layer 13,self_attn.up_proj,0.987548,1.4e-05
13,Transformer Layer 13,self_attn.down_proj,0.987548,1.4e-05
14,Transformer Layer 14,self_attn.q_proj,0.685484,0.000365
14,Transformer Layer 14,self_attn.k_proj,0.685484,0.000365
14,Transformer Layer 14,self_attn.v_proj,0.785484,0.000465
14,Transformer Layer 14,self_attn.o_proj,0.988129,1.3e-05
14,Transformer Layer 14,mlp.gate_proj,0.988129,1.3e-05
14,Transformer Layer 14,self_attn.up_proj,0.988129,1.3e-05
14,Transformer Layer 14,self_attn.down_proj,0.988129,1.3e-05
15,Transformer Layer 15,self_attn.q_proj,0.695161,0.000355
15,Transformer Layer 15,self_attn.k_proj,0.695161,0.000355
15,Transformer Layer 15,self_attn.v_proj,0.795161,0.000455
15,Transformer Layer 15,self_attn.o_proj,0.98871,1.3e-05
15,Transformer Layer 15,mlp.gate_proj,0.98871,1.3e-05
15,Transformer Layer 15,self_attn.up_proj,0.98871,1.3e-05
15,Transformer Layer 15,self_attn.down_proj,0.98871,1.3e-05
16,Transformer Layer 16,self_attn.q_proj,0.704839,0.000345
16,Transformer Layer 16,self_attn.k_proj,0.704839,0.000345
16,Transformer Layer 16,self_attn.v_proj,0.804839,0.000445
16,Transformer Layer 16,self_attn.o_proj,0.98929,1.2e-05
16,Transformer Layer 16,mlp.gate_proj,0.98929,1.2e-05
16,Transformer Layer 16,self_attn.up_proj,0.98929,1.2e-05
16,Transformer Layer 16,self_attn.down_proj,0.98929,1.2e-05
17,Transformer Layer 17,self_attn.q_proj,0.714516,0.000335
17,Transformer Layer 17,self_attn.k_proj,0.714516,0.000335
17,Transformer Layer 17,self_attn.v_proj,0.814516,0.000435
17,Transformer Layer 17,self_attn.o_proj,0.989871,1.2e-05
17,Transformer Layer 17,mlp.gate_proj,0.989871,1.2e-05
17,Transformer Layer 17,self_attn.up_proj,0.989871,1.2e-05
17,Transformer Layer 17,self_attn.down_proj,0.989871,1.2e-05
18,Transformer Layer 18,self_attn.q_proj,0.724194,0.000326
18,Transformer Layer 18,self_attn.k_proj,0.724194,0.000326
18,Transformer Layer 18,self_attn.v_proj,0.824194,0.000426
18,Transformer Layer 18,self_attn.o_proj,0.990452,1.1e-05
18,Transformer Layer 18,mlp.gate_proj,0.990452,1.1e-05
18,Transformer Layer 18,self_attn.up_proj,0.990452,1.1e-05
18,Transformer Layer 18,self_attn.down_proj,0.990452,1.1e-05
19,Transformer Layer 19,self_attn.q_proj,0.733871,0.000316
19,Transformer Layer 19,self_attn.k_proj,0.733871,0.000316
19,Transformer Layer 19,self_attn.v_proj,0.833871,0.000416
19,Transformer Layer 19,self_attn.o_proj,0.991032,1.1e-05
19,Transformer Layer 19,mlp.gate_proj,0.991032,1.1e-05
19,Transformer Layer 19,self_attn.up_proj,0.991032,1.1e-05
19,Transformer Layer 19,self_attn.down_proj,0.991032,1.1e-05
20,Transformer Layer 20,self_attn.q_proj,0.743548,0.000306
20,Transformer Layer 20,self_attn.k_proj,0.743548,0.000306
20,Transformer Layer 20,self_attn.v_proj,0.843548,0.000406
20,Transformer Layer 20,self_attn.o_proj,0.991613,1e-05
20,Transformer Layer 20,mlp.gate_proj,0.991613,1e-05
20,Transformer Layer 20,self_attn.up_proj,0.991613,1e-05
20,Transformer Layer 20,self_attn.down_proj,0.991613,1e-05
21,Transformer Layer 21,self_attn.q_proj,0.753226,0.000297
21,Transformer Layer 21,self_attn.k_proj,0.753226,0.000297
21,Transformer Layer 21,self_attn.v_proj,0.853226,0.000397
21,Transformer Layer 21,self_attn.o_proj,0.992194,1e-05
21,Transformer Layer 21,mlp.gate_proj,0.992194,1e-05
21,Transformer Layer 21,self_attn.up_proj,0.992194,1e-05
21,Transformer Layer 21,self_attn.down_proj,0.992194,1e-05
22,Transformer Layer 22,self_attn.q_proj,0.762903,0.000287
22,Transformer Layer 22,self_attn.k_proj,0.762903,0.000287
22,Transformer Layer 22,self_attn.v_proj,0.862903,0.000387
22,Transformer Layer 22,self_attn.o_proj,0.992774,9e-06
22,Transformer Layer 22,mlp.gate_proj,0.992774,9e-06
22,Transformer Layer 22,self_attn.up_proj,0.992774,9e-06
22,Transformer Layer 22,self_attn.down_proj,0.992774,9e-06
23,Transformer Layer 23,self_attn.q_proj,0.772581,0.000277
23,Transformer Layer 23,self_attn.k_proj,0.772581,0.000277
23,Transformer Layer 23,self_attn.v_proj,0.872581,0.000377
23,Transformer Layer 23,self_attn.o_proj,0.993355,9e-06
23,Transformer Layer 23,mlp.gate_proj,0.993355,9e-06
23,Transformer Layer 23,self_attn.up_proj,0.993355,9e-06
23,Transformer Layer 23,self_attn.down_proj,0.993355,9e-06
24,Transformer Layer 24,self_attn.q_proj,0.782258,0.000268
24,Transformer Layer 24,self_attn.k_proj,0.782258,0.000268
24,Transformer Layer 24,self_attn.v_proj,0.882258,0.000368
24,Transformer Layer 24,self_attn.o_proj,0.993935,8e-06
24,Transformer Layer 24,mlp.gate_proj,0.993935,8e-06
24,Transformer Layer 24,self_attn.up_proj,0.993935,8e-06
24,Transformer Layer 24,self_attn.down_proj,0.993935,8e-06
25,Transformer Layer 25,self_attn.q_proj,0.791935,0.000258
25,Transformer Layer 25,self_attn.k_proj,0.791935,0.000258
25,Transformer Layer 25,self_attn.v_proj,0.891935,0.000358
25,Transformer Layer 25,self_attn.o_proj,0.994516,8e-06
25,Transformer Layer 25,mlp.gate_proj,0.994516,8e-06
25,Transformer Layer 25,self_attn.up_proj,0.994516,8e-06
25,Transformer Layer 25,self_attn.down_proj,0.994516,8e-06
26,Transformer Layer 26,self_attn.q_proj,0.801613,0.000248
26,Transformer Layer 26,self_attn.k_proj,0.801613,0.000248
26,Transformer Layer 26,self_attn.v_proj,0.901613,0.000348
26,Transformer Layer 26,self_attn.o_proj,0.995097,7e-06
26,Transformer Layer 26,mlp.gate_proj,0.995097,7e-06
26,Transformer Layer 26,self_attn.up_proj,0.995097,7e-06
26,Transformer Layer 26,self_attn.down_proj,0.995097,7e-06
27,Transformer Layer 27,self_attn.q_proj,0.81129,0.000239
27,Transformer Layer 27,self_attn.k_proj,0.81129,0.000239
27,Transformer Layer 27,self_attn.v_proj,0.91129,0.000339
27,Transformer Layer 27,self_attn.o_proj,0.995677,7e-06
27,Transformer Layer 27,mlp.gate_proj,0.995677,7e-06
27,Transformer Layer 27,self_attn.up_proj,0.995677,7e-06
27,Transformer Layer 27,self_attn.down_proj,0.995677,7e-06
28,Transformer Layer 28,self_attn.q_proj,0.820968,0.000229
28,Transformer Layer 28,self_attn.k_proj,0.820968,0.000229
28,Transformer Layer 28,self_attn.v_proj,0.920968,0.000329
28,Transformer Layer 28,self_attn.o_proj,0.996258,6e-06
28,Transformer Layer 28,mlp.gate_proj,0.996258,6e-06
28,Transformer Layer 28,self_attn.up_proj,0.996258,6e-06
28,Transformer Layer 28,self_attn.down_proj,0.996258,6e-06
29,Transformer Layer 29,self_attn.q_proj,0.830645,0.000219
29,Transformer Layer 29,self_attn.k_proj,0.830645,0.000219
29,Transformer Layer 29,self_attn.v_proj,0.930645,0.000319
29,Transformer Layer 29,self_attn.o_proj,0.996839,6e-06
29,Transformer Layer 29,mlp.gate_proj,0.996839,6e-06
29,Transformer Layer 29,self_attn.up_proj,0.996839,6e-06
29,Transformer Layer 29,self_attn.down_proj,0.996839,6e-06
30,Transformer Layer 30,self_attn.q_proj,0.840323,0.00021
30,Transformer Layer 30,self_attn.k_proj,0.840323,0.00021
30,Transformer Layer 30,self_attn.v_proj,0.940323,0.00031
30,Transformer Layer 30,self_attn.o_proj,0.997419,5e-06
30,Transformer Layer 30,mlp.gate_proj,0.997419,5e-06
30,Transformer Layer 30,self_attn.up_proj,0.997419,5e-06
30,Transformer Layer 30,self_attn.down_proj,0.997419,5e-06
31,Transformer Layer 31,self_attn.q_proj,0.85,0.0002
31,Transformer Layer 31,self_attn.k_proj,0.85,0.0002
31,Transformer Layer 31,self_attn.v_proj,0.95,0.0003
31,Transformer Layer 31,self_attn.o_proj,0.998,5e-06
31,Transformer Layer 31,mlp.gate_proj,0.998,5e-06
31,Transformer Layer 31,self_attn.up_proj,0.998,5e-06
31,Transformer Layer 31,self_attn.down_proj,0.998,5e-06
