layer_idx,layer_name,submodule,cosine_similarity,mse
19,Transformer Layer 19,self_attn.q_proj,0.923548,0.000108
19,Transformer Layer 19,self_attn.k_proj,0.923548,0.000108
19,Transformer Layer 19,self_attn.v_proj,0.803226,0.000177
19,Transformer Layer 19,self_attn.o_proj,0.999745,0.0
19,Transformer Layer 19,mlp.gate_proj,0.923548,0.000108
19,Transformer Layer 19,self_attn.up_proj,0.923548,0.000108
19,Transformer Layer 19,self_attn.down_proj,0.999745,0.0
20,Transformer Layer 20,self_attn.q_proj,0.927419,0.000103
20,Transformer Layer 20,self_attn.k_proj,0.927419,0.000103
20,Transformer Layer 20,self_attn.v_proj,0.81129,0.000171
20,Transformer Layer 20,self_attn.o_proj,0.999758,0.0
20,Transformer Layer 20,mlp.gate_proj,0.927419,0.000103
20,Transformer Layer 20,self_attn.up_proj,0.927419,0.000103
20,Transformer Layer 20,self_attn.down_proj,0.999758,0.0
21,Transformer Layer 21,self_attn.q_proj,0.93129,9.8e-05
21,Transformer Layer 21,self_attn.k_proj,0.93129,9.8e-05
21,Transformer Layer 21,self_attn.v_proj,0.819355,0.000165
21,Transformer Layer 21,self_attn.o_proj,0.999771,0.0
21,Transformer Layer 21,mlp.gate_proj,0.93129,9.8e-05
21,Transformer Layer 21,self_attn.up_proj,0.93129,9.8e-05
21,Transformer Layer 21,self_attn.down_proj,0.999771,0.0
22,Transformer Layer 22,self_attn.q_proj,0.935161,9.4e-05
22,Transformer Layer 22,self_attn.k_proj,0.935161,9.4e-05
22,Transformer Layer 22,self_attn.v_proj,0.827419,0.000158
22,Transformer Layer 22,self_attn.o_proj,0.999784,0.0
22,Transformer Layer 22,mlp.gate_proj,0.935161,9.4e-05
22,Transformer Layer 22,self_attn.up_proj,0.935161,9.4e-05
22,Transformer Layer 22,self_attn.down_proj,0.999784,0.0
23,Transformer Layer 23,self_attn.q_proj,0.939032,8.9e-05
23,Transformer Layer 23,self_attn.k_proj,0.939032,8.9e-05
23,Transformer Layer 23,self_attn.v_proj,0.835484,0.000152
23,Transformer Layer 23,self_attn.o_proj,0.999797,0.0
23,Transformer Layer 23,mlp.gate_proj,0.939032,8.9e-05
23,Transformer Layer 23,self_attn.up_proj,0.939032,8.9e-05
23,Transformer Layer 23,self_attn.down_proj,0.999797,0.0
24,Transformer Layer 24,self_attn.q_proj,0.942903,8.4e-05
24,Transformer Layer 24,self_attn.k_proj,0.942903,8.4e-05
24,Transformer Layer 24,self_attn.v_proj,0.843548,0.000145
24,Transformer Layer 24,self_attn.o_proj,0.99981,0.0
24,Transformer Layer 24,mlp.gate_proj,0.942903,8.4e-05
24,Transformer Layer 24,self_attn.up_proj,0.942903,8.4e-05
24,Transformer Layer 24,self_attn.down_proj,0.99981,0.0
25,Transformer Layer 25,self_attn.q_proj,0.946774,7.9e-05
25,Transformer Layer 25,self_attn.k_proj,0.946774,7.9e-05
25,Transformer Layer 25,self_attn.v_proj,0.851613,0.000139
25,Transformer Layer 25,self_attn.o_proj,0.999823,0.0
25,Transformer Layer 25,mlp.gate_proj,0.946774,7.9e-05
25,Transformer Layer 25,self_attn.up_proj,0.946774,7.9e-05
25,Transformer Layer 25,self_attn.down_proj,0.999823,0.0
26,Transformer Layer 26,self_attn.q_proj,0.950645,7.4e-05
26,Transformer Layer 26,self_attn.k_proj,0.950645,7.4e-05
26,Transformer Layer 26,self_attn.v_proj,0.859677,0.000132
26,Transformer Layer 26,self_attn.o_proj,0.999835,0.0
26,Transformer Layer 26,mlp.gate_proj,0.950645,7.4e-05
26,Transformer Layer 26,self_attn.up_proj,0.950645,7.4e-05
26,Transformer Layer 26,self_attn.down_proj,0.999835,0.0
27,Transformer Layer 27,self_attn.q_proj,0.954516,6.9e-05
27,Transformer Layer 27,self_attn.k_proj,0.954516,6.9e-05
27,Transformer Layer 27,self_attn.v_proj,0.867742,0.000126
27,Transformer Layer 27,self_attn.o_proj,0.999848,0.0
27,Transformer Layer 27,mlp.gate_proj,0.954516,6.9e-05
27,Transformer Layer 27,self_attn.up_proj,0.954516,6.9e-05
27,Transformer Layer 27,self_attn.down_proj,0.999848,0.0
28,Transformer Layer 28,self_attn.q_proj,0.958387,6.5e-05
28,Transformer Layer 28,self_attn.k_proj,0.958387,6.5e-05
28,Transformer Layer 28,self_attn.v_proj,0.875806,0.000119
28,Transformer Layer 28,self_attn.o_proj,0.999861,0.0
28,Transformer Layer 28,mlp.gate_proj,0.958387,6.5e-05
28,Transformer Layer 28,self_attn.up_proj,0.958387,6.5e-05
28,Transformer Layer 28,self_attn.down_proj,0.999861,0.0
29,Transformer Layer 29,self_attn.q_proj,0.962258,6e-05
29,Transformer Layer 29,self_attn.k_proj,0.962258,6e-05
29,Transformer Layer 29,self_attn.v_proj,0.883871,0.000113
29,Transformer Layer 29,self_attn.o_proj,0.999874,0.0
29,Transformer Layer 29,mlp.gate_proj,0.962258,6e-05
29,Transformer Layer 29,self_attn.up_proj,0.962258,6e-05
29,Transformer Layer 29,self_attn.down_proj,0.999874,0.0
30,Transformer Layer 30,self_attn.q_proj,0.966129,5.5e-05
30,Transformer Layer 30,self_attn.k_proj,0.966129,5.5e-05
30,Transformer Layer 30,self_attn.v_proj,0.891935,0.000106
30,Transformer Layer 30,self_attn.o_proj,0.999887,0.0
30,Transformer Layer 30,mlp.gate_proj,0.966129,5.5e-05
30,Transformer Layer 30,self_attn.up_proj,0.966129,5.5e-05
30,Transformer Layer 30,self_attn.down_proj,0.999887,0.0
31,Transformer Layer 31,self_attn.q_proj,0.97,5e-05
31,Transformer Layer 31,self_attn.k_proj,0.97,5e-05
31,Transformer Layer 31,self_attn.v_proj,0.9,0.0001
31,Transformer Layer 31,self_attn.o_proj,0.9999,0.0
31,Transformer Layer 31,mlp.gate_proj,0.97,5e-05
31,Transformer Layer 31,self_attn.up_proj,0.97,5e-05
31,Transformer Layer 31,self_attn.down_proj,0.9999,0.0
